REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,C2_5
991,80,16799712,1020280000014,991,048073855,2/1/2013,"ОАО ""АФ Банк""","450057, Республика Башкортостан, город Уфа, улица Октябрьской революции, 78",21
992,19,09108064,1023500000040,992,041909717,2/1/2013,"ЗАО Банк ""Вологдабанк""","160001, г.Вологда, ул. Мира, д. 36",17
1000,40,00032520,1027739609391,1000,044525187,2/1/2013,ОАО Банк ВТБ,"190000, г. Санкт-Петербург, ул. Большая Морская, 29",20
1002,19,09108420,1033501065730,1002,041946748,2/1/2013,"ОАО Комсоцбанк ""Бумеранг""","162602, Вологодская обл., г.Череповец, ул. Коммунистов д. 22",17
1003,41,12187601,1026200000837,1003,044106741,2/1/2013,"ООО ""ЛЕНОБЛБАНК""","188662, Ленинградская область, Всеволожский район, п.Мурино, ул. Центральная, д.46",31
1006,80,09105806,1020280000070,1006,048073747,2/1/2013,"ОАО ""Башпромбанк""","450015, Российская Федерация, Республика Башкортостан, г.Уфа, ул. Революционная, д.43",17
1016,97,09286216,1022100000120,1016,049706749,2/1/2013,"""Объединенный банк Республики"" (ООО)","428010, Чувашская Республика, г.Чебоксары, Коммунальная слобода, 25""а""",17
1025,36,16250087,1020400000070,1025,043678859,2/1/2013,"ООО КБ ""Эл банк""","445037,  Самарская область, г. Тольятти, Новый проезд, д. 8",17
1027,12,09104296,1023000000210,1027,041203729,2/1/2013,ОАО ВКАБАНК,414000 г.Астрахань ул.Ленина 20,26
1035,85,09232309,1020800758681,1035,048580724,2/1/2013,"ОАО ККБ ""КРЕДИТБАНК""","358000, Республика Калмыкия, г. Элиста, ул. Нейман, 3а",20
1037,84,16250070,1020400000400,1037,048405712,2/1/2013,"ООО КБ ""Майма""","649000, Республика Алтай, г.Горно-Алтайск, ул.Чорос-Гуркина, 29",31
1043,46,09211551,1025000000090,1043,044695151,2/1/2013,"ЗАО ""Промсбербанк""","142110, Московская область, г. Подольск, ул. Кирова, д.19",17
1046,28,09131235,1026900001347,1046,042822729,2/1/2013,"ООО КБ ""Гефест""","171506, Тверская область, г.Кимры, ул.Урицкого, д. 19",17
1049,95,46224302,1021900002563,1049,049514745,2/1/2013,"ООО ""Хакасский муниципальный банк""","655017, Республика Хакасия, г.Абакан, ул.Хакасская, 73",31
1050,14,09803255,1023100000857,1050,041424725,2/1/2013,"ООО ""Осколбанк""","309511, Белгородская область, г. Старый Оскол, мкр. Олимпийский, 62",17
1052,45,09141558,1077711000080,1052,044579273,2/1/2013,"""МТИ-Банк"" (ЗАО)","119530, г. Москва, Очаковское шоссе, д. 32",17
1053,45,09107126,1027739326306,1053,044583547,2/1/2013,"КБ ""Финансовый стандарт"" (ООО)","127287, г. Москва, Старый Петровско-Разумовский проезд, д. 2 А, стр. 1",31
1059,45,09286311,1027739435668,1059,044579721,2/1/2013,"КБ ""МРБ"" (ООО)""","109341, г. Москва, ул. Люблинская, д. 151",17
1060,97,09286274,1022100008325,1060,049706717,2/1/2013,"КБ ""БДБ"" (ООО)","429060, Чувашская Республика, г.Ядрин, ул.Красноармейская, 5",21
1067,25,09125424,1023800000124,1067,042520706,2/1/2013,"ОАО ""БайкалИнвестБанк""","664007, Иркутская область, г. Иркутск, ул. Октябрьской Революции, 5",18
1068,40,09282454,1097800006589,1068,044030885,2/1/2013,"ОАО ""Невский банк""","196084, Санкт-Петербург, ул. Киевская, 5 корп. 3",20
1071,53,09284683,1025600006024,1071,045318806,2/1/2013,"ОАО КБ ""Спутник""","461630, Оренбургская обл., г. Бугуруслан, ул. Фрунзе, 103",30
1073,45,09318608,1027739837366,1073,044552685,2/1/2013,"АКБ ""РУССЛАВБАНК"" (ЗАО)","119049,  г. Москва, ул. Донская, д.14. стр. 2",30
1084,78,09288304,1027600000185,1084,047885715,2/1/2013,"ОАО КБ ""Верхневолжский""","152903, Ярославская область, г.Рыбинск, ул.Братьев Орловых, 1а",17
1087,12,34411588,1023001538340,1087,041203711,2/1/2013,"ОАО Банк ""ККБ""","414040, г. Астрахань, ул. Адмиралтейская, 47",31
1088,45,09287581,1027739534052,1088,044552514,2/1/2013,"КБ ""МАК-банк"" (ООО)","119180,  г. Москва, ул. Большая Якиманка, д. 23",17
1093,78,09288250,1027600000020,1093,047888744,2/1/2013,"ОАО КБ ""ЯРОСЛАВИЧ""","150000, г.Ярославль, ул.Собинова, 31/6",22
1114,22,09116282,1025200000198,1114,042274756,2/1/2013,"ОАО Комбанк ""Химик""","606008, Нижегородская область, г.Дзержинск, улица Урицкого, 10 - Б",17
1115,34,09139194,1024400003858,1115,043469720,2/1/2013,"ООО ""Костромаселькомбанк""","156013, г. Кострома, ул. Калиновская, 36",17
1118,17,09116419,1025200000330,1118,041718737,2/1/2013,"ОАО комбанк ""Окский""","601650, Владимирская область, г. Александров, ул. Октябрьская, 14, к. 305",17
1121,66,09258533,1026700000051,1121,046615706,2/1/2013,"ОАО АКБ ""Смолевич""","216500, Смоленская область, город Рославль, ул.Пролетарская, 47",22
1134,24,09287115,1021400728293,1134,042406798,2/1/2013,"""РеКорБанк"" (ООО)","153000, Ивановская обл., г. Иваново, ул. Степанова, д. 15",17
1136,79,09143095,1020100002394,1136,047908704,2/1/2013,"АКБ ""МАЙКОПБАНК"" (ЗАО)","385000, Республика Адыгея, г.Майкоп, ул.Пионерская, 276",17
1137,83,09128121,1020700000254,1137,048327749,2/1/2013,"""БУМ-БАНК"", ООО","360000, Кабардино - Балкарская республика, г.Нальчик, ул,Ногмова, 62",17
1139,45,09231468,1022600000158,1139,044552930,2/1/2013,"АКБ ""Русский Трастовый Банк"" (ЗАО)","125009, г. Москва, улица Большая Никитская, дом 16",17
1143,64,09319252,1026500000317,1143,046401724,2/1/2013,"""ООО Охабанк""","693020, Сахалинская область, г. Южно-Сахалинск, ул. Амурская, д. 53",17
1144,25,39092538,1023800000069,1144,042511741,2/1/2013,"""Братский АНКБ"" ОАО","665717, Иркутская область, г. Братск, ул. Комсомольская,43",20
1151,29,09317783,1024000001739,1151,042908748,2/1/2013,"ООО КБ ""Калуга""","248001, г. Калуга, ул. Суворова, д.147",20
1153,36,09151060,1026300001815,1153,043601933,2/1/2013,"ОАО ""ВКБ""","443030, г.Самара, ул.Вилоновская, 138",25
1158,32,09800185,1024200001814,1158,043209740,2/1/2013,"ОАО АБ ""Кузнецкбизнесбанк""","654080, Кемеровская область, г.Новокузнецк, ул.Кирова, 89а",26
1165,78,09288273,1027600000031,1165,047888786,2/1/2013,"ОАО ""Кредпромбанк""","150000, г.Ярославль, ул.Некрасова, д.30",17
1166,22,09116299,1025200001001,1166,042220760,2/1/2013,"ОАО НКБ ""РАДИОТЕХБАНК""","603009, г.Нижний Новгород, улица Батумская, 21а",20
1184,25,09125223,1023800000190,1184,042502710,2/1/2013,"ЗАО ""Гринкомбанк""","665451, Иркутская область, г. Усолье-Сибирское, Комсомольский проспект, 89",21
1189,52,09227873,1025500000624,1189,045209783,2/1/2013,"ОАО ""Плюс Банк""","644024, город Омск, Газетный переулок, дом 6",31
1197,82,25171576,1020500000223,1197,048209719,2/1/2013,"ООО КБ ""Кредитинвест""","368120, Республика Дагестан, г. Кизилюрт, Площадь Героев, д. 1.",17
1222,25,09125619,1063800023572,1222,042514759,2/1/2013,ВЛБАНК (ОАО),"666784, Иркутская область, г. Усть-Кут, ул. Кирова, 85а",20
1239,07,09231072,1022600000345,1239-Д,040717797,2/1/2013,"НКО ""Зеленокумская"" (ОАО)","357910, Ставропольский край, г.Зеленокумск, ул. Учительская,3",17
1242,42,09156011,1024800001852,1242,044206704,2/1/2013,"ОАО ""Липецккомбанк""","398600, г.Липецк, ул. Интернациональная, 8",20
1244,28,09131318,1026900001040,1244,042809737,2/1/2013,"ООО КБ ""Велга""","171210, Тверская область, г. Лихославль, ул. Гагарина, д. 32",17
1249,98,09287233,1021400000380,1249,049805709,2/1/2013,"АБ ""Таатта"" ЗАО","677000, Республика Саха (Якутия), г. Якутск, ул. Орджоникидзе, 46/1",27
1250,45,09139308,1024400003759,1250,044585510,2/1/2013,"ОАО ""ТСБ""","123557, г. Москва, ул. Климашкина, д.21, строение 1",17
1276,47,09221079,1025100001838,1276,044705709,2/1/2013,"ОАО ""ДНБ Банк""","183032, г. Мурманск, пр. Ленина, 14",31
1277,22,09116052,1025200000077,1277,042206759,2/1/2013,"Банк ""Богородский"" (ООО)","607600, Нижегородская область, г.Богородск, улица Ленина, 185",17
1280,97,09286357,1022100000064,1280,049706725,2/1/2013,"АКБ ""ЧУВАШКРЕДИТПРОМБАНК"" ОАО","428000, Чувашская Республика, г.Чебоксары, Проспект Московский,3",20
1281,22,09116036,1025200000011,1281,042204757,2/1/2013,"ЗАО комбанк ""Арзамас""","607220, Нижегородская область, г.Арзамас, улица Кирова, 33",17
1282,53,09320692,1025600002064,1282,045306818,2/1/2013,"ОАО Инвестбанк ""БЗЛ""","461050, Оренбургская область, г. Бузулук, ул. Спортивная, д. 17-а",31
1284,71,09286268,1022100008336,1284,047102804,2/1/2013,Банк СБРР (ООО),"625003, г. Тюмень, ул. Клары Цеткин, дом 61, корп. 1/2",23
1288,07,10245961,1022600000092,1288,040702760,2/1/2013,Ставропольпромстройбанк - ОАО,"355041, Ставропольский край, г.Ставрополь, ул. Краснофлотская, 88а",31
1291,58,09243721,1026000002160,1291,045853774,2/1/2013,"ОАО КБ ""ВАКОБАНК""","182100, Псковская область, г. Великие Луки, ул. К. Либкнехта, д. 15",17
1293,65,41718732,1026600006510,1293,046577774,2/1/2013,"БАНК ""НЕЙВА"" ООО","620142, Свердловская область, г. Екатеринбург, ул. Чапаева, д. 3а",26
1307,27,22881700,1023900000080,1307,042748701,2/1/2013,"КБ ""ЭНЕРГОТРАНСБАНК"" (ОАО)","236016, г. Калининград,  ул. Клиническая , д.83""А""",31
1309,93,09264195,1021700000046,1309,049304735,2/1/2013,"ОАО АБ ""Народный банк РТ""","667000, Республика Тыва, г.Кызыл, ул. Тувинских добровольцев, 18",17
1312,68,09263511,1026800000017,1312,046850755,2/1/2013,"АКБ ""ТКПБ"" (ОАО), JSCB""TKPB""(OJSC)","392000, г. Тамбов, ул. Советская, 118",22
1317,45,09610355,1027739051009,1317,044525487,2/1/2013,"ОАО ""Собинбанк""","123022,  г. Москва, ул.Рочдельская, дом 15, строение 56, 4 этаж",31
1319,63,09301178,1026400002067,1319,046311722,2/1/2013,"ЗАО ""Экономбанк""","410031, г.Саратов, ул.Радищева, 28",17
1326,45,09610444,1027700067328,1326,044525593,2/1/2013,"ОАО ""АЛЬФА-БАНК""","107078,  г. Москва, ул. Каланчевская, д. 27",31
1329,30,09275017,1024100000121,1329,043002708,2/1/2013,"ЗАО ""Солид Банк""","683024, Камчатский край, г.Петропавловск-Камчатский, ул. Лукашевского, 11",20
1343,50,09224343,1025400000010,1343,045004850,2/1/2013,"Банк ""Левобережный"" (ОАО)","630054, г. Новосибирск, ул. Плахотного, дом 25/1",30
1352,49,09223434,1025300002925,1352,044959746,2/1/2013,"ОАО УКБ ""Новобанк""","173003 Новгородская обл., г. Великий Новгород, наб. реки Гзень,  д.11",20
1354,45,09610705,1027700381290,1354,044525607,2/1/2013,РНКБ (ОАО),"127030, г. Москва, ул. Краснопролетарская, д. 9, стр. 5",26
1370,65,09253435,1026600001361,1370,046577993,2/1/2013,"ООО КБ ""Уралфинанс""","620219, город Екатеринбург, ул. Мамина-Сибиряка, д.111",23
1376,75,09278990,1027400009064,1376,047501799,2/1/2013,"Банк ""Снежинский"" ОАО","456770, Челябинская область, г.Снежинск, ул.Васильева, 12",24
1378,64,09620052,1026500000031,1378,046401728,2/1/2013,"ОАО ""Тихоокеанский Внешторгбанк""","693020, Сахалинская область, г. Южно-Сахалинск,  Коммунистический проспект,  д. 76.",31
1398,80,09620276,1020200001634,1398,048073842,2/1/2013,"ОАО АКБ ""Башкомснаббанк""","450076, Республика Башкортостан, г.Уфа, ул.Гафури, 54",22
1399,29,10844124,1024000001002,1399,042908762,2/1/2013,"ООО банк ""Элита""","248000, г. Калуга, ул. Московская, 10",31
1405,45,09620402,1027739149778,1405,044552676,2/1/2013,"ОАО АРКБ ""Росбизнесбанк""","115162,  г. Москва, ул.Мытная, д.42-44, стр.12",29
1411,45,09620046,1027739337581,1411,044579629,2/1/2013,"ОАО ""МНХБ""","121069,  г. Москва, ул. Большая Никитская, д.49",31
1414,45,09620885,1027739049370,1414,044585779,2/1/2013,ОАО М2М Прайвет Банк,"125009,  г. Москва, Леонтьевский переулок, д. 21/1, стр. 1",17
1415,78,12659282,1027600000152,1415,047888783,2/1/2013,"АКБ ""Ярзембанк"" (ЗАО)","150040, г. Ярославль, ул.Свердлова, 34.",17
1439,45,09620767,1027700540680,1439,044525181,2/1/2013,"Банк ""Возрождение"" (ОАО)","101000,  г. Москва, Лучников переулок, д. 7/4, стр. 1",17
1441,65,09253174,1026600000063,1441,046577912,2/1/2013,"ООО КБ ""УМБ""","620062, г. Екатеринбург, ул. Генеральская, 3",17
1455,92,09265467,1021600000806,1455,049240748,2/1/2013,"ЗАО ""Автоградбанк""","423831, Республика Татарстан, г.Набережные Челны, проспект  Хасана Туфана, 43",28
1459,45,09620230,1025600001130,1459,044585322,2/1/2013,"ООО КБ ""Агросоюз""","101000, г. Москва, Уланский пер., д. 13, стр. 1",21
1460,10,10332973,1022800000112,1460,041012718,2/1/2013,"ОАО КБ ""Восточный""","675000,  Амурская обл., г.Благовещенск, пер. Святителя Иннокентия, 1",31
1470,45,09301192,1027700159288,1470,044525848,2/1/2013,"ОАО АКБ ""Связь-Банк""","125375,  г. Москва, ул.Тверская, д.7",31
1478,45,09301275,1037739772740,1478,044579663,2/1/2013,"АКБ ""Лэнд-Банк"" ЗАО","125130, г. Москва, 6-ой Новоподмосковный пер., д.4",17
1481,45,00032537,1027700132195,1481,044525225,2/1/2013,"ОАО ""Сбербанк России""","117997,  г. Москва, ул. Вавилова, д.19",31
1521,45,17508783,1027739265355,1521,044552663,2/1/2013,"АКИБ ""ОБРАЗОВАНИЕ"" (ЗАО)","119991,  г. Москва, Ленинский проспект, д. 63/2, корпус 1",31
1555,45,17526367,1027739165409,1555,044552664,2/1/2013,"АПБ ""Солидарность"" (ЗАО)","119334,  г. Москва, Ленинский проспект, дом 37, корпус 1",17
1557,65,09307651,1026600001042,1557,046577781,2/1/2013,"ОАО ""ВУЗ-банк""","620014, Екатеринбург, ул. Малышева, д.31-б/переулок Банковский, д.11",31
1573,45,13243000,1027739857958,1573,044583666,2/1/2013,"ОАО ""РосДорБанк""","115093,  г. Москва, ул. Дубининская, дом 86",31
1574,45,10163980,1022400000655,1574,044583718,2/1/2013,"ЗАО КБ ""КЕДР""","127254, г. Москва, ул. Руставели, д.15",23
1581,92,09265705,1021600000146,1581,049205798,2/1/2013,"АКБ ""БТА-Казань"" (ОАО)","420066, г.Казань, проспект Ибрагимова, д.58",26
1586,40,11164704,1027800000172,1586,044030841,2/1/2013,"ЗАО КБ ""ТЕТРАПОЛИС""","197046, Санкт-Петербург, Крестьянский пер., 5, лит.А, пом.14Н, 18Н",17
1598,45,09308296,1037739001079,1598,044579694,2/1/2013,"ОАО АКБ ""Лесбанк""","107031, г. Москва, Дмитровский пер., д.3, стр.4",17
1608,27,09307415,1083900000140,1608,042748802,2/1/2013,"ОАО КБ ""РЕГИОНАЛЬНЫЙ КРЕДИТНЫЙ БАНК""","236022, город Калининград, ул.Шиллера, дом 7",28
1614,91,09233102,1020900001781,1614,049133825,2/1/2013,"ОАО ""Заубер Банк""","369000, Карачаево-Черкесская республика, г. Черкесск, ул.Пушкинская, 84",17
1616,27,10780803,1023900000761,1616,042748705,2/1/2013,"ЗАО ИКБ ""ЕВРОПЕЙСКИЙ""","236010, г. Калининград, ул. Кутузова, д. 39",31
1617,60,12135515,1026100011200,1617,046015872,2/1/2013,"ООО КБ ""Донинвест""","344011, г. Ростов-на-Дону, пер. Халтуринский, 99",31
1618,91,09233272,1020900001792,1618-К,049133858,2/1/2013,"ЗАО ""Кавказ-Гелиос"" РНКО","369000, Карачаево-Черкесская республика, г. Черкесск, ул. Пушкинская, №82",17
1623,45,20606880,1027739207462,1623,044525716,2/1/2013,ВТБ 24 (ЗАО),"101000,  г. Москва, ул. Мясницкая, д. 35",31
1626,75,09278300,1027400000803,1626,047501742,2/1/2013,"ЗАО КБ ""УРАЛЛИГА""","454091, г.Челябинск, ул.Свободы, 83",17
1635,65,20611616,1036605604078,1635,046510805,2/1/2013,"ОАО ""Тагилбанк""","622001, Свердловская область, г. Нижний Тагил, ул. Ломоносова, 2а",22
1637,45,09307556,1027739296584,1637,044583685,2/1/2013,"КБ ""СДМ-БАНК"" (ОАО)","125424,  г. Москва, Волоколамское шоссе, д.73",31
1639,45,13199517,1027739572740,1639,044579692,2/1/2013,"КБ ""Метрополь"" ООО","119049,  г. Москва, ул.Донская, д.7, стр.3",17
1640,45,09307616,1027739661498,1640,044583636,2/1/2013,"ОАО МКБ ""Замоскворецкий""","119180,  г. Москва, ул. Большая Полянка, д.42/2, стр.4",17
1657,45,09307562,1037700024581,1657,044552684,2/1/2013,"КБ ""ИНТЕРКОММЕРЦ"" (ООО)","119435,  г. Москва, Большой Саввинский пер., д. 2-4-6, стр. 10",31
1659,40,41761171,1023800000322,1659,044030904,2/1/2013,"ООО ""ПромСервисБанк""","190013, г. Санкт-Петербург, ул. Рузовская, д. 16, лит. А",22
1661,45,17528716,1027739126865,1661,044579723,2/1/2013,"ОАО РАКБ ""МОСКВА""","121019, г. Москва, Малый Знаменский переулок, дом 3-5/3/6, строение 9",17
1663,87,09801517,1021100000085,1663,048717730,2/1/2013,"ОАО Комирегионбанк ""Ухтабанк""","169300, Республика Коми, г.Ухта, ул.Октябрьская, 14",17
1671,45,17502837,1027700409791,1671,044583679,2/1/2013,"ООО КБ ""Нэклис-Банк""","123056,  г. Москва, ул. Васильевская, д.13, стр.1",31
1673,83,09128084,1020700000826,1673,048341736,2/1/2013,"ООО ""Банк ""Майский""","361115, Кабардино - Балкарская Республика, г. Майский, ул. Ленина, 23",16
1675,25,22849061,1023800000014,1675,042520827,2/1/2013,"АКБ ""Радиан"" (ОАО)","664047, Иркутская область, г. Иркутск, ул. Советская, 3",31
1677,45,17527102,1027739042572,1677,044585672,2/1/2013,"АБ ""БПФ"" (ЗАО)","125195, г. Москва, Ленинградское шоссе, д. 59",31
1679,45,09308314,1037739315965,1679,044579611,2/1/2013,"ООО КБ ""ДОРИС БАНК""","125009, Москва, Георгиевский переулок, д. 1, стр. 1",17
1680,40,20501862,1027800000953,1680,044030882,2/1/2013,Креди Агриколь КИБ ЗАО,"191186, Санкт-Петербург, Невский пр. дом 12",17
1684,45,29304063,1027700375944,1684,044525874,2/1/2013,"ЗАО ""БВА Банк""","115035, г. Москва, ул. Садовническая, д. 25, 27, стр. 1",17
1697,45,09308633,1027739326933,1697,044585318,2/1/2013,ОКЕАН БАНК (ЗАО),"119334,  г. Москва, Канатчиковский проезд, д. 1, стр.1",31
1701,71,27014941,1028600002749,1701,047144704,2/1/2013,"ОАО ""АККОБАНК""","628416, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г. Сургут, ул. Дзержинского, 11",20
1704,50,16570260,1025400000053,1704,045005803,2/1/2013,"ООО КБ ""Взаимодействие""","630005, г. Новосибирск,  ул.Каменская, д.51",18
1717,45,17511213,1027700259058,1717,044552210,2/1/2013,Банкхаус Эрбе (ЗАО),"123056, г.Москва, ул.Зоологическая, д.26, стр.1",20
1720,69,09266291,1027000002446,1720,046902728,2/1/2013,"ОАО ""Томскпромстройбанк""","634061, город Томск, проспект Фрунзе, 90",17
1724,45,09308188,1027739510787,1724,044585320,2/1/2013,"ОАО АКБ ""ИРОНБАНК""","115054,  г. Москва, 3-й Монетчиковский пер., д.4/6, стр.1",17
1730,45,17399561,1027739042495,1730,044583368,2/1/2013,"ОАО ""ПРБ""","123557,  г. Москва, ул. Пресненский вал, д. 14, стр. 3",29
1734,40,20503720,1027800004209,1734,044030816,2/1/2013,"ОАО ""ГАНЗАКОМБАНК""","191123, Санкт-Петербург, Манежный пер., 14, литер А",17
1736,45,09308415,1027739186738,1736,044585325,2/1/2013,"ООО КБ ""Жилкредит""","107023,  г. Москва, ул. Малая Семеновская, д. 1, стр. 1",30
1738,53,11916110,1025600001019,1738,045330852,2/1/2013,"ОАО ""НСТ-БАНК""","462359, Оренбургская обл., г. Новотроицк, ул. Советская, 49",20
1743,65,16638437,1026600002065,1743,046577957,2/1/2013,"ЗАО ""Сберинвестбанк""","620146, г. Екатеринбург, ул. Шаумяна, 73",31
1745,94,13068554,1021800001508,1745,049401814,2/1/2013,"ОАО ""БыстроБанк""","426008, Удмуртская Республика, г.Ижевск, ул.Пушкинская,268",31
1747,32,22926287,1024200001792,1747,043209770,2/1/2013,"ООО ""НОВОКИБ""","654080, Кемеровская область, город Новокузнецк, улица Кирова, дом 69",17
1751,45,25094551,1107711000022,1751,044552866,2/1/2013,АКБ МОСОБЛБАНК ОАО,"109028, г. Москва, ул. Солянка,  д. 3, стр. 2",31
1752,89,12925200,1021300000072,1752,048952749,2/1/2013,"АККСБ ""КС БАНК"" (ОАО)","430005, Республика Мордовия, город Саранск, улица Демократическая, дом 30",24
1763,24,10731360,1043700028679,1763,042406705,2/1/2013,"ОАО КБ ""ИВАНОВО""","153002, г.Иваново, просп. Ленина, д. 31-А",25
1765,12,10393578,1023000817388,1765,041203715,2/1/2013,ОАО ЕАТПБанк,"414000 г.Астрахань ул.Ногина, 3",31
1776,45,09308343,1027739340584,1776,044525352,2/1/2013,"ОАО Банк ""Петрокоммерц""","127051, г. Москва, ул. Петровка, д. 24, стр. 1",20
1777,45,12844128,1020700001464,1777,044599205,2/1/2013,"ОАО КБ ""ЕВРОКОММЕРЦ""","127055, г. Москва, ул. Образцова, д. 4",24
1781,24,10729179,1023700001467,1781,042406701,2/1/2013,"ОАО КИБ ""ЕВРОАЛЬЯНС""","153000, г.Иваново, ул.Станко, д.13",30
1788,57,24046395,1025900000059,1788,045773705,2/1/2013,"""ЗАО АКИБ ""Почтобанк""","614096, г. Пермь, ул. Ленина, 68",17
1792,36,11707493,1026300001991,1792,043602975,2/1/2013,"ООО ""Русфинанс Банк""","443013, Самарская область, г. Самара, ул. Чернореченская, дом 42а",17
1794,42,11200305,1024800001863,1794,044206708,2/1/2013,"ОАО ""Липецкоблбанк""","398050, г.Липецк, пл. Плеханова,1",17
1809,71,21768455,1028600003497,1809,047169742,2/1/2013,"ЗАО НГАБ ""Ермак""","628624, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г. Нижневартовск, ул. Мира, 68",21
1810,10,09272303,1022800000079,1810,041012765,2/1/2013,"""Азиатско-Тихоокеанский Банк"" (ОАО)","675000, Амурская обл., г. Благовещенск, ул.Амурская, 225",23
1816,14,09803373,1023100000153,1816,041403737,2/1/2013,"ОАО ""Белгородпромстройбанк""","308000, Белгородская область, г.Белгород, Народный бульвар, дом 79",22
1818,60,24146116,1026100002708,1818,046014718,2/1/2013,"МКБ ""Дон-Тексбанк"" ООО","346500, Ростовская область, г. Шахты, пр. Красной Армии, 140",22
1829,45,23832312,1025600001668,1829,044583861,2/1/2013,"ООО ""Инбанк""","107113, г. Москва, ул. Сокольнический вал, д. 1/2, стр. 1",17
1835,45,17519373,1027739030110,1835,044552732,2/1/2013,"ОАО ""Аделантбанк""","127051,  г. Москва, Петровский бульвар, д.19/2, стр.1",17
1860,45,17507128,1027739430773,1860-К,044579143,2/1/2013,"ООО ""НКО ""Паритет""","117209,  г. Москва, ул. Зюзинская, д. 6, корп. 2",17
1868,20,12391939,1026800000028,1868,042007731,2/1/2013,"ОАО ""Арксбанк""","394000, г.Воронеж, просп. Революции, д. 1а",17
1869,46,10253149,1022600000059,1869,044585484,2/1/2013,"ОАО КБ ""ЕвроситиБанк""","141002, Московская область, г. Мытищи, ул. Комарова, д. 5",31
1885,45,09308403,1027739553764,1885,044525341,2/1/2013,"АКБ ""ФОРА-БАНК"" (ЗАО)","119021,  г. Москва, Зубовский бульвар, д.25",31
1896,19,10561293,1023500000655,1896,041909760,2/1/2013,"ЗАО ""Банк ""Вологжанин""","160001 г.Вологда, ул. Батюшкова д. 11",24
1902,63,12253203,1126400004191,1902,046311771,2/1/2013,"ЗАО КБ ""Наратбанк""","410012, г.Саратов, ул.Московская, 75",20
1909,26,,1020600000618,1909,042618758,2/1/2013,"ООО КБ ""РИнгкомбанк""","386101, Республика Ингушетия, г.Назрань, ул.Радужная, 9",17
1910,32,16364359,1024200002859,1910,043207776,2/1/2013,"ООО ""Банк РБ""","650000, Кемеровская область, г.Кемерово, проспект Советский, д.56",17
1917,92,12965889,1021600003160,1917,049205789,2/1/2013,"ЗАО ""Булгар банк""","420107, г.Казань, ул.Луковского, д.8",23
1926,40,25102440,1020500001170,1926,044030870,2/1/2013,"ООО КБ ""НЕВАСТРОЙИНВЕСТ""","191167, г. Санкт-Петербург, ул. Александра Невского, д.3, литер А, пом. 1Н",17
1927,34,10041566,1022200525841,1927,043469751,2/1/2013,"ОАО КБ ""Региональный кредит""","156000, г. Кострома, ул. Свердлова, 25 а",28
1928,07,10253452,1022600001984,1928,040708775,2/1/2013,"ООО КБ ""ГРиС-Банк""","357500, Ставропольский край, г.Пятигорск,  ул. Почтовая, 56",26
1939,45,09301200,1027739474355,1939,044599399,2/1/2013,"ООО КБ ""Ренессанс""","119330, г. Москва, Мичуринский пр-т, дом 6, корпус 3",31
1942,45,09317031,1027739326010,1942,044525243,2/1/2013,"ЗАО ""ГЛОБЭКСБАНК""","109004, г.Москва, ул. Земляной Вал, дом 59, строение 2",30
1943,80,09105539,1020200000424,1943,048082765,2/1/2013,"ОАО Банк ""ПСБ""","450077, Республика Башкортостан, г.Уфа, ул. Достоевского,100",23
1946,12,10395423,1023000927520,1946,041203726,2/1/2013,ОАО АГРОИНКОМБАНК,"414000, город Астрахань, пл. Ленина/ул. Бурова, 10/3, помещение 73",17
1948,45,17530972,1027700135540,1948,044599313,2/1/2013,"ООО МИБ ""ДАЛЕНА""","111024,  г. Москва, Шоссе Энтузиастов, д. 17, стр. 1",18
1949,24,20515858,1083700000471,1949,042406718,2/1/2013,ЗАО НАЦИОНАЛЬНЫЙ БАНК СБЕРЕЖЕНИЙ,"153022, г.Иваново, ул.Богдана Хмельницкого, дом 83",17
1950,22,10645063,1025200000055,1950,042202798,2/1/2013,"ОАО КБ ""Эллипс банк""","603000, г. Нижний Новгород, пл. Максима Горького, д.4/2",20
1951,45,17503886,1027739051053,1951,044585392,2/1/2013,"ООО ""ТАНДЕМБАНК""","123290,  г. Москва, Шелепихинское шоссе, д.11, корп.1",18
1956,40,22361164,1027800001987,1956,044030815,2/1/2013,"ООО КБ ""Инвест-Экобанк""","197101, Санкт-Петербург, ул. Мира, 30",17
1957,66,12351785,1026700000073,1957,046614757,2/1/2013,"ОАО ""СКА-Банк""","214000 г.Смоленск, ул.Ленина, 13-А",31
1961,45,17534094,1027739019714,1961,044583139,2/1/2013,Связной Банк (ЗАО),"123001,  г. Москва, Ермолаевский пер., д. 27, стр. 1",31
1966,22,10668259,1025200000022,1966,042202705,2/1/2013,"ОАО ""НБД-Банк""","603950, г.Нижний Новгород, площадь Горького, 6",17
1967,45,20588219,1027739599535,1967,044585391,2/1/2013,"ООО КБ ""Монолит""","105005,  г. Москва, ул. Радио, д. 7, стр. 1",20
1968,45,16582292,1025400001637,1968,044585526,2/1/2013,"КБ ""Русский ипотечный банк"" (ООО)","115035, г. Москва, ул. Садовническая, д. 46, стр. 1",31
